trip_id,employee_id,program_office,travel_date,travel_purpose,expense_type,amount,mileage,total_mileage_cost
TR00066,EMP0101,TRANS,2024-02-15,Asset Movement,Mileage,319.19,476.4,319.19
TR00067,EMP0132,OPS,2023-11-23,Asset Management,Ground Transportation,20.33,,
TR00068,EMP0030,ADMIN,2024-03-30,Asset Management,Mileage,326.02,486.6,326.02
TR00069,EMP0059,FIN,2023-12-23,Asset Management,Ground Transportation,154.44,,
TR00070,EMP0148,ADMIN,2023-10-17,Asset Movement,Mileage,304.45,454.4,304.45
TR00071,EMP0118,ADMIN,2024-03-20,Asset Movement,Hotel/Lodging,224.63,,
TR00072,EMP0120,PMO,2023-11-15,Asset Management,Mileage,43.62,65.1,43.62
TR00073,EMP0043,OPS,2024-08-30,Asset Movement,Air Transportation,214.84,,
TR00074,EMP0074,TRANS,2023-12-23,Asset Movement,Ground Transportation,165.81,,
TR00075,EMP0088,LOG,2024-01-28,Asset Movement,Air Transportation,754.98,,
TR00076,EMP0076,FIN,2023-12-26,Asset Management,Hotel/Lodging,236.95,,
TR00077,EMP0110,FIN,2024-07-05,Asset Movement,Air Transportation,496.47,,
TR00078,EMP0016,ADMIN,2024-03-16,Asset Management,Air Transportation,218.11,,
TR00079,EMP0078,FIN,2024-04-03,Asset Management,Mileage,253.8,378.8,253.8
TR00080,EMP0129,FIN,2024-04-07,Asset Management,Ground Transportation,40.86,,
TR00081,EMP0122,FIN,2024-05-13,Asset Management,Air Transportation,1024.4,,
TR00082,EMP0122,FIN,2024-05-02,Asset Management,Ground Transportation,19.9,,
TR00083,EMP0062,ADMIN,2024-04-29,Asset Management,Ground Transportation,110.97,,
TR00084,EMP0122,FIN,2024-06-29,Asset Movement,Air Transportation,357.64,,
TR00085,EMP0116,PMO,2024-02-13,Asset Movement,Ground Transportation,60.56,,
TR00086,EMP0122,FIN,2024-04-16,Asset Movement,Air Transportation,994.38,,
TR00087,EMP0003,OPS,2024-09-10,Asset Movement,Ground Transportation,70.44,,
TR00088,EMP0055,OPS,2024-02-23,Asset Movement,Mileage,67.13,100.2,67.13
TR00089,EMP0093,FIN,2024-09-24,Asset Movement,Air Transportation,487.88,,
TR00090,EMP0059,FIN,2023-10-13,Asset Management,Mileage,217.75,325.0,217.75
TR00091,EMP0110,FIN,2024-08-28,Asset Movement,Mileage,397.78,593.7,397.78
TR00092,EMP0089,OPS,2024-02-17,Asset Movement,Ground Transportation,166.67,,
TR00093,EMP0074,TRANS,2024-02-09,Asset Management,Mileage,400.26,597.4,400.26
TR00094,EMP0094,PMO,2024-07-10,Asset Management,Mileage,348.2,519.7,348.2
TR00095,EMP0115,OPS,2023-11-15,Asset Movement,Mileage,265.19,395.8,265.19
TR00096,EMP0095,FIN,2024-03-02,Asset Management,Mileage,224.32,334.8,224.32
TR00097,EMP0066,PMO,2024-04-07,Asset Management,Ground Transportation,84.63,,
TR00098,EMP0068,OPS,2024-07-04,Asset Movement,Air Transportation,772.0,,
TR00099,EMP0040,ADMIN,2024-07-18,Asset Management,Air Transportation,883.65,,
TR00100,EMP0043,OPS,2023-11-27,Asset Movement,Hotel/Lodging,322.55,,
TR00101,EMP0024,ADMIN,2024-01-12,Asset Management,Mileage,337.48,503.7,337.48
TR00102,EMP0095,FIN,2023-10-01,Asset Movement,Air Transportation,248.69,,
TR00103,EMP0111,TRANS,2023-11-21,Asset Management,Hotel/Lodging,258.3,,
TR00104,EMP0085,FIN,2024-09-20,Asset Movement,Hotel/Lodging,227.62,,
TR00105,EMP0133,FIN,2024-01-09,Asset Movement,Hotel/Lodging,248.95,,
TR00106,EMP0008,TRANS,2024-02-15,Asset Management,Mileage,148.81,222.1,148.81
TR00107,EMP0050,OPS,2024-04-15,Asset Management,Ground Transportation,132.58,,
TR00108,EMP0031,PMO,2024-01-12,Asset Management,Air Transportation,443.21,,
TR00109,EMP0035,FIN,2024-06-19,Asset Management,Air Transportation,492.24,,
TR00110,EMP0022,TRANS,2024-03-02,Asset Movement,Mileage,271.08,404.6,271.08
TR00111,EMP0105,FIN,2024-07-27,Asset Movement,Hotel/Lodging,141.73,,
TR00112,EMP0132,OPS,2024-03-01,Asset Management,Ground Transportation,59.95,,
TR00113,EMP0100,TRANS,2024-01-08,Asset Management,Air Transportation,795.6,,
TR00114,EMP0139,OPS,2024-02-14,Asset Management,Air Transportation,969.89,,
TR00115,EMP0050,OPS,2024-09-11,Asset Movement,Air Transportation,1081.27,,
TR00116,EMP0076,FIN,2024-04-22,Asset Movement,Hotel/Lodging,226.65,,
TR00117,EMP0071,PMO,2023-10-20,Asset Management,Ground Transportation,116.98,,
TR00118,EMP0147,TRANS,2024-01-30,Asset Movement,Hotel/Lodging,131.56,,
TR00119,EMP0142,FIN,2024-02-04,Asset Management,Hotel/Lodging,134.19,,
TR00120,EMP0056,PMO,2024-06-21,Asset Management,Mileage,187.87,280.4,187.87
TR00121,EMP0016,ADMIN,2024-06-18,Asset Management,Ground Transportation,38.77,,
TR00122,EMP0065,LOG,2024-03-25,Asset Management,Mileage,368.43,549.9,368.43
TR00123,EMP0107,TRANS,2024-03-14,Asset Movement,Mileage,49.78,74.3,49.78
TR00124,EMP0090,OPS,2024-01-18,Asset Management,Air Transportation,508.7,,
TR00125,EMP0122,FIN,2023-10-29,Asset Management,Hotel/Lodging,133.05,,
TR00126,EMP0108,TRANS,2024-07-21,Asset Management,Mileage,44.69,66.7,44.69
TR00127,EMP0135,PMO,2024-07-23,Asset Management,Hotel/Lodging,324.35,,
TR00128,EMP0095,FIN,2023-10-18,Asset Movement,Air Transportation,206.21,,
TR00129,EMP0126,PMO,2024-09-13,Asset Management,Ground Transportation,68.56,,
TR00130,EMP0035,FIN,2024-08-19,Asset Management,Mileage,220.56,329.2,220.56
TR00131,EMP0016,ADMIN,2024-08-06,Asset Movement,Hotel/Lodging,153.73,,
TR00132,EMP0085,FIN,2023-10-13,Asset Management,Mileage,26.8,40.0,26.8
TR00133,EMP0002,OPS,2024-03-24,Asset Management,Ground Transportation,121.96,,
TR00134,EMP0084,FIN,2024-06-02,Asset Management,Mileage,259.69,387.6,259.69
TR00135,EMP0033,PMO,2024-05-04,Asset Management,Ground Transportation,139.37,,
TR00136,EMP0132,OPS,2024-01-25,Asset Movement,Mileage,350.08,522.5,350.08
TR00137,EMP0052,OPS,2024-08-20,Asset Movement,Air Transportation,1004.99,,
TR00138,EMP0049,PMO,2024-05-18,Asset Management,Ground Transportation,37.37,,
TR00139,EMP0109,LOG,2024-04-25,Asset Movement,Hotel/Lodging,115.18,,
TR00140,EMP0026,TRANS,2024-08-30,Asset Management,Hotel/Lodging,249.4,,
TR00141,EMP0070,LOG,2024-09-11,Asset Management,Air Transportation,238.85,,
TR00142,EMP0041,FIN,2023-12-21,Asset Movement,Mileage,336.74,502.6,336.74
TR00143,EMP0036,LOG,2024-03-29,Asset Movement,Ground Transportation,143.15,,
TR00144,EMP0079,FIN,2023-10-17,Asset Movement,Hotel/Lodging,342.85,,
TR00145,EMP0067,PMO,2024-07-06,Asset Movement,Hotel/Lodging,136.25,,
TR00146,EMP0064,LOG,2024-07-24,Asset Management,Mileage,250.11,373.3,250.11
TR00147,EMP0134,TRANS,2024-08-30,Asset Movement,Air Transportation,687.82,,
TR00148,EMP0106,FIN,2024-02-03,Asset Management,Ground Transportation,147.56,,
TR00149,EMP0012,ADMIN,2023-10-27,Asset Movement,Hotel/Lodging,110.55,,
TR00150,EMP0143,TRANS,2024-08-29,Asset Management,Hotel/Lodging,169.02,,
TR00151,EMP0029,FIN,2023-11-17,Asset Management,Hotel/Lodging,225.96,,
TR00152,EMP0112,OPS,2023-10-08,Asset Movement,Air Transportation,549.59,,
TR00153,EMP0126,PMO,2024-05-07,Asset Movement,Mileage,172.59,257.6,172.59
TR00154,EMP0077,LOG,2024-02-06,Asset Management,Mileage,317.98,474.6,317.98
TR00155,EMP0130,LOG,2024-04-12,Asset Management,Ground Transportation,98.45,,
TR00156,EMP0033,PMO,2023-11-12,Asset Movement,Ground Transportation,170.14,,
TR00157,EMP0022,TRANS,2024-09-04,Asset Management,Air Transportation,334.27,,
TR00158,EMP0135,PMO,2024-08-02,Asset Movement,Air Transportation,876.27,,
TR00159,EMP0052,OPS,2024-08-11,Asset Movement,Ground Transportation,141.33,,
TR00160,EMP0026,TRANS,2024-06-08,Asset Management,Hotel/Lodging,209.36,,
TR00161,EMP0142,FIN,2024-06-11,Asset Movement,Air Transportation,329.26,,
TR00162,EMP0097,FIN,2024-03-12,Asset Movement,Air Transportation,1119.05,,
TR00163,EMP0078,FIN,2024-08-26,Asset Management,Ground Transportation,142.02,,
TR00164,EMP0138,ADMIN,2024-05-02,Asset Management,Mileage,192.96,288.0,192.96
TR00165,EMP0105,FIN,2024-02-18,Asset Management,Air Transportation,585.21,,
TR00166,EMP0060,ADMIN,2024-07-03,Asset Management,Hotel/Lodging,316.55,,
TR00167,EMP0132,OPS,2024-08-23,Asset Management,Hotel/Lodging,333.4,,
TR00168,EMP0051,TRANS,2024-01-12,Asset Movement,Ground Transportation,24.59,,
TR00169,EMP0090,OPS,2024-08-25,Asset Movement,Ground Transportation,162.54,,
TR00170,EMP0146,PMO,2024-05-23,Asset Management,Air Transportation,1112.68,,
TR00171,EMP0010,FIN,2024-05-18,Asset Movement,Ground Transportation,141.7,,
TR00172,EMP0038,OPS,2024-06-10,Asset Movement,Ground Transportation,156.0,,
TR00173,EMP0051,TRANS,2024-09-15,Asset Movement,Mileage,352.96,526.8,352.96
TR00174,EMP0097,FIN,2024-04-30,Asset Management,Air Transportation,1024.9,,
TR00175,EMP0074,TRANS,2024-01-08,Asset Movement,Ground Transportation,28.95,,
TR00176,EMP0070,LOG,2024-09-23,Asset Movement,Hotel/Lodging,261.55,,
TR00177,EMP0052,OPS,2023-10-13,Asset Movement,Hotel/Lodging,253.78,,
TR00178,EMP0026,TRANS,2023-10-09,Asset Management,Air Transportation,785.43,,
TR00179,EMP0035,FIN,2024-02-04,Asset Management,Hotel/Lodging,207.25,,
TR00180,EMP0075,FIN,2024-06-04,Asset Movement,Hotel/Lodging,119.16,,
TR00181,EMP0018,LOG,2023-11-10,Asset Management,Ground Transportation,30.04,,
TR00182,EMP0095,FIN,2023-11-16,Asset Movement,Hotel/Lodging,240.71,,
TR00183,EMP0102,PMO,2024-03-03,Asset Movement,Air Transportation,1171.92,,
TR00184,EMP0142,FIN,2024-06-04,Asset Movement,Air Transportation,1142.28,,
TR00185,EMP0091,PMO,2024-05-03,Asset Movement,Air Transportation,450.55,,
TR00186,EMP0027,OPS,2024-06-24,Asset Movement,Mileage,220.77,329.5,220.77
TR00187,EMP0003,OPS,2024-05-16,Asset Movement,Ground Transportation,103.61,,
TR00188,EMP0106,FIN,2024-09-06,Asset Management,Hotel/Lodging,130.54,,
TR00189,EMP0058,PMO,2024-07-13,Asset Movement,Ground Transportation,57.86,,
TR00190,EMP0091,PMO,2024-05-09,Asset Movement,Ground Transportation,150.15,,
TR00191,EMP0084,FIN,2024-02-23,Asset Management,Hotel/Lodging,93.74,,
TR00192,EMP0139,OPS,2024-06-07,Asset Movement,Mileage,386.86,577.4,386.86
TR00193,EMP0070,LOG,2024-09-07,Asset Movement,Air Transportation,1143.69,,
TR00194,EMP0057,ADMIN,2024-03-11,Asset Movement,Hotel/Lodging,106.9,,
TR00195,EMP0021,PMO,2024-06-30,Asset Movement,Ground Transportation,53.68,,
TR00196,EMP0068,OPS,2023-11-19,Asset Movement,Hotel/Lodging,347.08,,
TR00197,EMP0133,FIN,2023-10-28,Asset Movement,Ground Transportation,96.0,,
TR00198,EMP0005,FIN,2023-10-02,Asset Movement,Mileage,166.76,248.9,166.76
TR00199,EMP0113,LOG,2024-01-21,Asset Management,Ground Transportation,120.72,,
TR00200,EMP0078,FIN,2024-06-08,Asset Movement,Mileage,188.54,281.4,188.54
TR00201,EMP0010,FIN,2024-09-14,Asset Movement,Hotel/Lodging,213.54,,
TR00202,EMP0017,FIN,2024-09-04,Asset Management,Air Transportation,422.2,,
TR00203,EMP0112,OPS,2024-04-05,Asset Movement,Ground Transportation,133.06,,
TR00204,EMP0149,TRANS,2023-10-29,Asset Movement,Hotel/Lodging,103.68,,
TR00205,EMP0115,OPS,2024-01-27,Asset Movement,Mileage,106.53,159.0,106.53
TR00206,EMP0020,ADMIN,2023-11-25,Asset Management,Ground Transportation,25.1,,
TR00207,EMP0123,PMO,2024-04-15,Asset Management,Hotel/Lodging,298.79,,
TR00208,EMP0109,LOG,2024-02-27,Asset Movement,Ground Transportation,135.43,,
TR00209,EMP0023,FIN,2023-11-24,Asset Management,Ground Transportation,42.71,,
TR00210,EMP0115,OPS,2024-04-28,Asset Management,Ground Transportation,78.0,,
TR00211,EMP0088,LOG,2023-10-23,Asset Management,Mileage,184.59,275.5,184.59
TR00212,EMP0023,FIN,2024-01-21,Asset Movement,Air Transportation,825.5,,
TR00213,EMP0056,PMO,2023-11-17,Asset Movement,Hotel/Lodging,216.19,,
TR00214,EMP0135,PMO,2023-11-10,Asset Movement,Ground Transportation,94.26,,
TR00215,EMP0035,FIN,2024-01-22,Asset Movement,Ground Transportation,31.65,,
TR00216,EMP0068,OPS,2024-09-08,Asset Management,Air Transportation,1102.38,,
TR00217,EMP0128,PMO,2023-12-20,Asset Management,Hotel/Lodging,166.01,,
TR00218,EMP0120,PMO,2023-11-26,Asset Management,Hotel/Lodging,292.24,,
TR00219,EMP0004,ADMIN,2024-07-21,Asset Management,Hotel/Lodging,340.68,,
TR00220,EMP0041,FIN,2024-09-24,Asset Movement,Ground Transportation,55.1,,
TR00221,EMP0071,PMO,2024-08-13,Asset Management,Hotel/Lodging,110.39,,
TR00222,EMP0063,TRANS,2024-03-08,Asset Management,Hotel/Lodging,312.26,,
TR00223,EMP0137,ADMIN,2024-04-28,Asset Movement,Air Transportation,963.76,,
TR00224,EMP0111,TRANS,2024-03-30,Asset Management,Ground Transportation,108.63,,
TR00225,EMP0061,TRANS,2024-02-17,Asset Movement,Hotel/Lodging,93.96,,
TR00226,EMP0136,OPS,2024-04-04,Asset Management,Ground Transportation,106.66,,
TR00227,EMP0131,OPS,2024-01-09,Asset Movement,Hotel/Lodging,300.47,,
TR00228,EMP0063,TRANS,2024-03-23,Asset Movement,Ground Transportation,86.26,,
TR00229,EMP0098,OPS,2024-03-25,Asset Movement,Ground Transportation,66.43,,
TR00230,EMP0133,FIN,2024-07-25,Asset Management,Hotel/Lodging,332.92,,
TR00231,EMP0066,PMO,2024-07-07,Asset Management,Air Transportation,321.71,,
TR00232,EMP0070,LOG,2024-09-02,Asset Movement,Hotel/Lodging,143.52,,
TR00233,EMP0097,FIN,2023-12-15,Asset Management,Mileage,373.46,557.4,373.46
TR00234,EMP0047,FIN,2024-06-15,Asset Management,Ground Transportation,122.41,,
TR00235,EMP0016,ADMIN,2024-03-29,Asset Management,Hotel/Lodging,319.83,,
TR00236,EMP0078,FIN,2024-06-20,Asset Movement,Hotel/Lodging,244.1,,
TR00237,EMP0046,OPS,2024-02-22,Asset Management,Ground Transportation,89.97,,
TR00238,EMP0045,OPS,2024-03-30,Asset Movement,Hotel/Lodging,308.94,,
TR00239,EMP0022,TRANS,2024-07-27,Asset Management,Mileage,398.05,594.1,398.05
TR00240,EMP0070,LOG,2024-05-13,Asset Management,Mileage,330.18,492.8,330.18
TR00241,EMP0024,ADMIN,2024-06-22,Asset Movement,Hotel/Lodging,134.26,,
TR00242,EMP0118,ADMIN,2024-04-02,Asset Management,Air Transportation,915.69,,
TR00243,EMP0068,OPS,2023-10-23,Asset Movement,Mileage,353.96,528.3,353.96
TR00244,EMP0034,LOG,2024-03-30,Asset Movement,Air Transportation,1159.63,,
TR00245,EMP0056,PMO,2024-03-12,Asset Management,Ground Transportation,128.22,,
TR00246,EMP0041,FIN,2024-01-29,Asset Management,Air Transportation,1159.19,,
TR00247,EMP0090,OPS,2024-01-20,Asset Movement,Mileage,270.75,404.1,270.75
TR00248,EMP0133,FIN,2024-04-04,Asset Management,Air Transportation,403.48,,
TR00249,EMP0084,FIN,2024-08-12,Asset Movement,Hotel/Lodging,179.87,,
TR00250,EMP0133,FIN,2024-02-04,Asset Movement,Air Transportation,288.56,,
TR00251,EMP0002,OPS,2024-02-14,Asset Movement,Ground Transportation,139.85,,
TR00252,EMP0020,ADMIN,2023-12-13,Asset Management,Air Transportation,622.68,,
TR00253,EMP0071,PMO,2024-03-26,Asset Management,Mileage,125.36,187.1,125.36
TR00254,EMP0072,OPS,2023-10-05,Asset Management,Ground Transportation,67.18,,
TR00255,EMP0061,TRANS,2023-10-01,Asset Management,Hotel/Lodging,246.75,,
TR00256,EMP0120,PMO,2023-10-12,Asset Movement,Hotel/Lodging,106.9,,
TR00257,EMP0141,OPS,2024-09-19,Asset Management,Air Transportation,381.19,,
TR00258,EMP0150,LOG,2024-05-30,Asset Movement,Mileage,401.06,598.6,401.06
TR00259,EMP0050,OPS,2024-07-02,Asset Management,Mileage,23.92,35.7,23.92
TR00260,EMP0028,TRANS,2024-02-07,Asset Movement,Air Transportation,674.2,,
TR00261,EMP0133,FIN,2024-03-29,Asset Management,Hotel/Lodging,310.2,,
TR00262,EMP0139,OPS,2024-06-08,Asset Movement,Mileage,97.22,145.1,97.22
TR00263,EMP0004,ADMIN,2023-11-17,Asset Movement,Ground Transportation,126.43,,
TR00264,EMP0092,FIN,2024-02-02,Asset Management,Hotel/Lodging,235.89,,
TR00265,EMP0135,PMO,2024-02-06,Asset Management,Mileage,34.24,51.1,34.24
TR00266,EMP0022,TRANS,2024-05-16,Asset Management,Mileage,391.68,584.6,391.68
TR00267,EMP0150,LOG,2024-05-19,Asset Management,Mileage,269.81,402.7,269.81
TR00268,EMP0059,FIN,2024-04-04,Asset Management,Air Transportation,538.74,,
TR00269,EMP0073,ADMIN,2023-12-05,Asset Movement,Hotel/Lodging,226.45,,
TR00270,EMP0004,ADMIN,2024-05-28,Asset Management,Air Transportation,392.12,,
TR00271,EMP0012,ADMIN,2024-04-14,Asset Movement,Mileage,384.58,574.0,384.58
TR00272,EMP0110,FIN,2023-10-21,Asset Movement,Ground Transportation,108.22,,
TR00273,EMP0112,OPS,2024-07-14,Asset Management,Ground Transportation,156.48,,
TR00274,EMP0062,ADMIN,2023-12-17,Asset Movement,Ground Transportation,41.96,,
TR00275,EMP0100,TRANS,2024-08-17,Asset Management,Ground Transportation,156.22,,
TR00276,EMP0054,ADMIN,2024-09-11,Asset Management,Hotel/Lodging,211.18,,
TR00277,EMP0077,LOG,2024-09-17,Asset Management,Ground Transportation,116.35,,
TR00278,EMP0116,PMO,2023-12-04,Asset Management,Ground Transportation,35.36,,
TR00279,EMP0140,OPS,2023-10-16,Asset Management,Mileage,332.19,495.8,332.19
TR00280,EMP0062,ADMIN,2023-10-25,Asset Management,Mileage,144.59,215.8,144.59
TR00281,EMP0033,PMO,2024-04-03,Asset Management,Mileage,116.45,173.8,116.45
TR00282,EMP0118,ADMIN,2024-01-08,Asset Management,Ground Transportation,103.63,,
TR00283,EMP0146,PMO,2024-01-26,Asset Movement,Mileage,87.03,129.9,87.03
TR00284,EMP0120,PMO,2023-11-30,Asset Movement,Hotel/Lodging,169.68,,
TR00285,EMP0128,PMO,2024-01-25,Asset Management,Ground Transportation,130.44,,
TR00286,EMP0019,FIN,2024-05-15,Asset Management,Hotel/Lodging,273.75,,
TR00287,EMP0098,OPS,2024-02-23,Asset Management,Air Transportation,1116.98,,
TR00288,EMP0037,OPS,2024-08-25,Asset Movement,Hotel/Lodging,226.03,,
TR00289,EMP0124,TRANS,2024-08-25,Asset Management,Hotel/Lodging,174.42,,
TR00290,EMP0030,ADMIN,2023-10-18,Asset Movement,Hotel/Lodging,194.78,,
TR00291,EMP0048,OPS,2023-10-22,Asset Movement,Mileage,174.53,260.5,174.53
TR00292,EMP0035,FIN,2024-03-29,Asset Management,Mileage,170.31,254.2,170.31
TR00293,EMP0106,FIN,2024-06-19,Asset Management,Hotel/Lodging,293.68,,
TR00294,EMP0026,TRANS,2023-10-25,Asset Movement,Ground Transportation,35.03,,
TR00295,EMP0065,LOG,2023-11-16,Asset Movement,Hotel/Lodging,308.81,,
TR00296,EMP0078,FIN,2024-04-23,Asset Management,Ground Transportation,42.39,,
TR00297,EMP0066,PMO,2024-07-11,Asset Movement,Ground Transportation,85.45,,
TR00298,EMP0048,OPS,2024-07-09,Asset Management,Air Transportation,1001.32,,
TR00299,EMP0051,TRANS,2024-02-15,Asset Management,Mileage,208.91,311.8,208.91
TR00300,EMP0079,FIN,2024-09-07,Asset Management,Air Transportation,234.86,,
TR00301,EMP0063,TRANS,2024-01-21,Asset Movement,Air Transportation,287.73,,
TR00302,EMP0098,OPS,2024-04-05,Asset Movement,Air Transportation,476.89,,
TR00303,EMP0079,FIN,2024-04-16,Asset Movement,Air Transportation,895.65,,
TR00304,EMP0060,ADMIN,2024-04-08,Asset Management,Ground Transportation,28.66,,
TR00305,EMP0073,ADMIN,2023-10-26,Asset Movement,Mileage,366.29,546.7,366.29
TR00306,EMP0046,OPS,2024-07-20,Asset Movement,Ground Transportation,25.11,,
TR00307,EMP0122,FIN,2024-01-07,Asset Management,Mileage,379.22,566.0,379.22
TR00308,EMP0025,LOG,2023-12-29,Asset Management,Mileage,247.57,369.5,247.57
TR00309,EMP0061,TRANS,2023-10-23,Asset Management,Hotel/Lodging,252.41,,
TR00310,EMP0144,TRANS,2024-02-05,Asset Movement,Mileage,113.43,169.3,113.43
TR00311,EMP0102,PMO,2023-11-26,Asset Management,Mileage,308.0,459.7,308.0
TR00312,EMP0015,LOG,2024-06-28,Asset Movement,Air Transportation,1153.93,,
TR00313,EMP0143,TRANS,2024-01-06,Asset Movement,Ground Transportation,147.75,,
TR00314,EMP0048,OPS,2023-10-13,Asset Management,Ground Transportation,103.34,,
TR00315,EMP0098,OPS,2023-11-06,Asset Movement,Hotel/Lodging,260.02,,
TR00316,EMP0150,LOG,2024-05-20,Asset Management,Air Transportation,684.11,,
