transaction_id,customer_id,transaction_date,merchant,category,amount,state,is_fraud
T000168,C0133,2024-02-12,McDonalds,Dining,93.94,VA,0
T000169,C0132,2024-02-16,Airbnb,Travel,759.81,FL,0
T000170,C0116,2024-07-31,CVS Pharmacy,Healthcare,25.44,MD,0
T000171,C0061,2024-07-10,Shell,Gas,33.47,MD,0
T000172,C0026,2024-03-11,Walgreens,Healthcare,21.11,CA,0
T000173,C0121,2024-08-17,Airbnb,Travel,511.51,DC,0
T000174,C0005,2024-03-17,Target,Shopping,281.17,VA,0
T000175,C0136,2024-05-27,Shell,Gas,34.26,FL,0
T000176,C0062,2024-02-02,Chevron,Gas,26.65,IL,0
T000177,C0153,2024-03-14,Trader Joes,Groceries,1382.04,NY,1
T000178,C0147,2024-12-06,BP,Gas,60.09,DC,0
T000179,C0093,2024-07-18,Chipotle,Dining,106.07,VA,0
T000180,C0100,2024-01-09,LabCorp,Healthcare,113.56,IL,0
T000181,C0062,2024-03-09,McDonalds,Dining,14.88,IL,0
T000182,C0165,2024-12-22,Airbnb,Travel,408.9,FL,0
T000183,C0035,2024-01-19,Local Bistro,Dining,42.28,TX,0
T000184,C0052,2024-06-07,Safeway,Groceries,112.77,CA,0
T000185,C0140,2024-01-19,Dominion Energy,Utilities,158.06,DC,0
T000186,C0092,2024-05-19,Safeway,Groceries,42.41,MD,0
T000187,C0103,2024-06-22,DC Water,Utilities,195.53,VA,0
T000188,C0128,2024-02-12,LabCorp,Healthcare,220.85,NY,0
T000189,C0155,2024-06-13,Uber,Travel,126.95,CA,0
T000190,C0076,2024-11-04,Best Buy,Shopping,363.07,VA,0
T000191,C0114,2024-01-22,Urgent Care,Healthcare,220.78,FL,0
T000192,C0158,2024-11-23,ExxonMobil,Gas,78.8,TX,0
T000193,C0020,2024-09-19,ExxonMobil,Gas,68.07,MD,0
T000194,C0008,2024-01-18,Airbnb,Travel,144.67,FL,0
T000195,C0166,2024-07-15,LabCorp,Healthcare,285.35,NY,0
T000196,C0040,2024-07-09,Dominion Energy,Utilities,105.47,FL,0
T000197,C0036,2024-06-09,Urgent Care,Healthcare,198.37,IL,0
T000198,C0030,2024-09-12,Trader Joes,Groceries,113.19,FL,0
T000199,C0031,2024-12-26,Walmart,Shopping,231.44,NY,0
T000200,C0074,2024-03-03,Comcast,Utilities,53.07,VA,0
T000201,C0045,2024-12-15,Verizon,Utilities,194.49,MD,0
T000202,C0171,2024-10-08,CVS Pharmacy,Healthcare,167.23,CA,0
T000203,C0041,2024-09-17,Uber,Travel,218.18,TX,0
T000204,C0036,2024-01-14,Steam,Entertainment,24.85,IL,0
T000205,C0120,2024-02-03,Delta Airlines,Travel,281.97,NY,0
T000206,C0185,2024-07-28,DC Water,Utilities,169.97,VA,0
T000207,C0082,2024-08-26,Local Bistro,Dining,84.81,MD,0
T000208,C0200,2024-08-09,Marriott,Travel,427.15,NY,0
T000209,C0032,2024-03-25,Uber,Travel,171.48,VA,0
T000210,C0058,2024-02-10,LabCorp,Healthcare,82.68,IL,0
T000211,C0142,2024-11-16,Target,Shopping,161.87,VA,0
T000212,C0129,2024-03-28,Marriott,Travel,544.05,NY,0
T000213,C0155,2024-01-15,CVS Pharmacy,Healthcare,33.55,CA,0
T000214,C0198,2024-10-19,Target,Shopping,217.04,DC,0
T000215,C0128,2024-09-04,Walmart,Shopping,133.77,NY,0
T000216,C0104,2024-02-07,Best Buy,Shopping,348.98,IL,0
T000217,C0107,2024-04-14,DC Water,Utilities,87.83,MD,0
T000218,C0184,2024-07-23,LabCorp,Healthcare,47.92,NY,0
T000219,C0144,2024-05-03,McDonalds,Dining,61.31,TX,0
T000220,C0064,2024-01-26,Delta Airlines,Travel,267.66,IL,0
T000221,C0158,2024-03-22,BP,Gas,68.81,TX,0
T000222,C0185,2024-03-22,Walgreens,Healthcare,154.5,VA,0
T000223,C0128,2024-01-12,Best Buy,Shopping,58.67,NY,0
T000224,C0118,2024-10-25,AMC Theaters,Entertainment,24.41,NY,0
T000225,C0127,2024-10-01,Dominion Energy,Utilities,31.39,DC,0
T000226,C0035,2024-07-25,Walmart,Shopping,192.48,TX,0
T000227,C0146,2024-10-10,Spotify,Entertainment,20.87,DC,0
T000228,C0116,2024-03-06,Amazon,Shopping,487.92,MD,0
T000229,C0087,2024-04-11,Walgreens,Healthcare,184.71,TX,0
T000230,C0011,2024-03-11,Whole Foods,Groceries,148.45,TX,0
T000231,C0133,2024-11-06,Comcast,Utilities,181.83,VA,0
T000232,C0157,2024-07-20,Walgreens,Healthcare,297.28,FL,0
T000233,C0077,2024-12-28,Urgent Care,Healthcare,173.25,NY,0
T000234,C0005,2024-12-10,LabCorp,Healthcare,41.79,VA,0
T000235,C0079,2024-05-15,Kroger,Groceries,194.07,DC,0
T000236,C0199,2024-10-25,Netflix,Entertainment,31.42,IL,0
T000237,C0185,2024-12-14,BP,Gas,34.53,VA,0
T000238,C0180,2024-01-10,Starbucks,Dining,58.51,IL,0
T000239,C0106,2024-09-13,Steam,Entertainment,47.62,MD,0
T000240,C0189,2024-09-22,Trader Joes,Groceries,57.32,FL,0
T000241,C0170,2024-06-09,DC Water,Utilities,192.64,FL,0
T000242,C0137,2024-12-12,LabCorp,Healthcare,233.88,MD,0
T000243,C0165,2024-04-08,Best Buy,Shopping,479.31,FL,0
T000244,C0077,2024-05-27,Spotify,Entertainment,43.77,NY,0
T000245,C0126,2024-06-27,Urgent Care,Healthcare,172.54,MD,0
T000246,C0185,2024-03-03,Walmart,Shopping,293.14,VA,0
T000247,C0102,2024-05-28,Walgreens,Healthcare,22.2,VA,0
T000248,C0021,2024-12-01,Urgent Care,Healthcare,84.37,NY,0
T000249,C0052,2024-03-11,Walmart,Shopping,67.97,CA,0
T000250,C0062,2024-12-08,Netflix,Entertainment,54.79,IL,0
T000251,C0060,2024-07-30,Whole Foods,Groceries,79.45,VA,0
T000252,C0175,2024-10-08,Delta Airlines,Travel,783.43,CA,0
T000253,C0168,2024-11-29,DC Water,Utilities,63.91,TX,0
T000254,C0083,2024-02-15,Amazon,Shopping,331.36,FL,0
T000255,C0190,2024-08-01,Trader Joes,Groceries,178.8,NY,0
T000256,C0010,2024-04-05,Chevron,Gas,76.2,DC,0
T000257,C0075,2024-06-01,Whole Foods,Groceries,122.23,VA,0
T000258,C0086,2024-11-24,Best Buy,Shopping,278.5,MD,0
T000259,C0035,2024-04-08,Dominion Energy,Utilities,167.5,TX,0
T000260,C0188,2024-04-05,Dominion Energy,Utilities,32.39,NY,0
T000261,C0076,2024-11-08,AMC Theaters,Entertainment,52.09,VA,0
T000262,C0110,2024-07-24,CVS Pharmacy,Healthcare,204.08,VA,0
T000263,C0036,2024-05-07,Dominion Energy,Utilities,31.16,IL,0
T000264,C0115,2024-06-03,Walmart,Shopping,297.49,CA,0
T000265,C0067,2024-02-01,Walgreens,Healthcare,203.66,NY,0
T000266,C0041,2024-12-19,ExxonMobil,Gas,27.04,TX,0
T000267,C0076,2024-04-22,Walgreens,Healthcare,287.63,VA,0
T000268,C0117,2024-12-25,Urgent Care,Healthcare,169.28,MD,0
T000269,C0138,2024-12-14,AMC Theaters,Entertainment,46.51,DC,0
T000270,C0021,2024-02-09,Dominion Energy,Utilities,185.93,NY,0
T000271,C0141,2024-03-25,AMC Theaters,Entertainment,23.05,VA,0
T000272,C0030,2024-02-16,Steam,Entertainment,54.44,FL,0
T000273,C0015,2024-09-19,Comcast,Utilities,100.62,CA,0
T000274,C0144,2024-01-12,Dominion Energy,Utilities,97.31,TX,0
T000275,C0191,2024-01-24,Netflix,Entertainment,28.3,VA,0
T000276,C0139,2024-08-29,Whole Foods,Groceries,25.71,TX,0
T000277,C0197,2024-07-10,Airbnb,Travel,794.64,FL,0
T000278,C0097,2024-12-15,Shell,Gas,77.85,FL,0
T000279,C0035,2024-04-01,CVS Pharmacy,Healthcare,297.93,TX,0
T000280,C0033,2024-01-12,Netflix,Entertainment,58.82,TX,0
T000281,C0185,2024-04-27,Chevron,Gas,34.85,VA,0
T000282,C0071,2024-01-17,Netflix,Entertainment,49.52,NY,0
T000283,C0197,2024-04-15,Trader Joes,Groceries,32.11,FL,0
T000284,C0115,2024-01-23,Trader Joes,Groceries,92.41,CA,0
T000285,C0056,2024-09-14,Trader Joes,Groceries,198.83,DC,0
T000286,C0188,2024-05-01,LabCorp,Healthcare,97.51,NY,0
T000287,C0170,2024-06-02,Steam,Entertainment,20.13,FL,0
T000288,C0152,2024-10-11,Airbnb,Travel,421.72,IL,0
T000289,C0165,2024-12-22,ExxonMobil,Gas,44.98,FL,0
T000290,C0097,2024-05-03,Airbnb,Travel,687.01,FL,0
T000291,C0182,2024-01-30,Airbnb,Travel,471.79,TX,0
T000292,C0143,2024-05-04,Airbnb,Travel,241.25,NY,0
T000293,C0021,2024-02-17,Dominion Energy,Utilities,121.06,NY,0
T000294,C0014,2024-12-10,Best Buy,Shopping,308.41,TX,0
T000295,C0019,2024-09-02,AMC Theaters,Entertainment,16.49,TX,0
T000296,C0078,2024-04-07,Trader Joes,Groceries,193.17,IL,0
T000297,C0194,2024-12-22,Comcast,Utilities,132.75,NY,0
T000298,C0062,2024-07-13,LabCorp,Healthcare,145.21,IL,0
T000299,C0079,2024-09-19,Walmart,Shopping,443.16,DC,0
T000300,C0185,2024-04-14,Dominion Energy,Utilities,93.02,VA,0
T000301,C0145,2024-01-09,AMC Theaters,Entertainment,19.34,DC,0
T000302,C0149,2024-03-19,ExxonMobil,Gas,31.77,NY,0
T000303,C0146,2024-10-08,Steam,Entertainment,41.0,DC,0
T000304,C0066,2024-08-23,DC Water,Utilities,58.6,FL,0
T000305,C0044,2024-04-04,Airbnb,Travel,737.67,DC,0
T000306,C0165,2024-02-08,Whole Foods,Groceries,190.13,FL,0
T000307,C0196,2024-03-11,Kroger,Groceries,171.66,TX,0
T000308,C0182,2024-04-21,Delta Airlines,Travel,429.3,TX,0
T000309,C0159,2024-01-09,DC Water,Utilities,31.12,CA,0
T000310,C0004,2024-10-01,Safeway,Groceries,2532.89,MD,1
T000311,C0173,2024-02-24,BP,Gas,75.08,FL,0
T000312,C0062,2024-06-30,Spotify,Entertainment,19.7,IL,0
T000313,C0096,2024-10-16,Chevron,Gas,34.59,FL,0
T000314,C0077,2024-02-17,Chipotle,Dining,54.58,NY,0
T000315,C0122,2024-12-25,Whole Foods,Groceries,50.85,CA,0
T000316,C0112,2024-09-27,CVS Pharmacy,Healthcare,276.55,TX,0
T000317,C0178,2024-01-24,Dominion Energy,Utilities,187.11,TX,0
T000318,C0072,2024-06-10,Trader Joes,Groceries,22.82,VA,0
T000319,C0037,2024-06-02,Shell,Gas,29.75,IL,0
T000320,C0100,2024-03-12,Urgent Care,Healthcare,239.24,IL,0
T000321,C0021,2024-02-20,CVS Pharmacy,Healthcare,136.76,NY,0
T000322,C0088,2024-01-16,ExxonMobil,Gas,58.05,NY,0
T000323,C0116,2024-07-01,Comcast,Utilities,124.02,MD,0
T000324,C0048,2024-11-12,Shell,Gas,37.72,MD,0
T000325,C0019,2024-03-19,McDonalds,Dining,51.8,TX,0
T000326,C0040,2024-07-03,ExxonMobil,Gas,1270.67,FL,1
T000327,C0093,2024-03-08,Amazon,Shopping,57.34,VA,0
T000328,C0143,2024-01-14,Shell,Gas,25.38,NY,0
T000329,C0153,2024-01-07,Urgent Care,Healthcare,94.64,NY,0
T000330,C0022,2024-12-16,AMC Theaters,Entertainment,25.94,NY,0
T000331,C0078,2024-03-15,Best Buy,Shopping,45.68,IL,0
T000332,C0108,2024-02-09,Best Buy,Shopping,190.15,FL,0
T000333,C0185,2024-08-22,Comcast,Utilities,48.19,VA,0
T000334,C0102,2024-06-17,Urgent Care,Healthcare,137.66,VA,0
T000335,C0167,2024-06-13,Uber,Travel,502.41,MD,0
T000336,C0123,2024-07-22,Walgreens,Healthcare,290.93,VA,0
T000337,C0178,2024-06-15,Comcast,Utilities,93.93,TX,0
T000338,C0101,2024-10-15,CVS Pharmacy,Healthcare,67.94,CA,0
T000339,C0047,2024-12-28,Kroger,Groceries,57.74,VA,0
T000340,C0178,2024-12-10,Local Bistro,Dining,64.92,TX,0
T000341,C0062,2024-08-04,Target,Shopping,397.7,IL,0
T000342,C0154,2024-09-30,DC Water,Utilities,116.12,NY,0
T000343,C0178,2024-07-03,Shell,Gas,62.1,TX,0
T000344,C0153,2024-05-07,Chipotle,Dining,82.34,NY,0
T000345,C0166,2024-06-18,Kroger,Groceries,193.83,NY,0
T000346,C0003,2024-04-23,McDonalds,Dining,66.17,DC,0
T000347,C0149,2024-07-10,Steam,Entertainment,26.51,NY,0
T000348,C0151,2024-01-13,Uber,Travel,412.08,IL,0
T000349,C0022,2024-06-27,Starbucks,Dining,44.31,NY,0
T000350,C0053,2024-08-31,Dominion Energy,Utilities,46.6,DC,0
T000351,C0116,2024-06-02,CVS Pharmacy,Healthcare,22.96,MD,0
T000352,C0006,2024-12-12,CVS Pharmacy,Healthcare,242.01,NY,0
T000353,C0190,2024-10-09,AMC Theaters,Entertainment,13.81,NY,0
T000354,C0119,2024-11-18,Steam,Entertainment,15.14,DC,0
T000355,C0111,2024-11-10,Shell,Gas,72.99,FL,0
T000356,C0110,2024-12-26,Shell,Gas,32.89,VA,0
T000357,C0181,2024-10-01,Chipotle,Dining,30.57,MD,0
T000358,C0118,2024-12-09,McDonalds,Dining,104.89,NY,0
T000359,C0164,2024-11-08,Urgent Care,Healthcare,123.84,NY,0
T000360,C0091,2024-12-10,Comcast,Utilities,150.02,NY,0
T000361,C0158,2024-06-09,Starbucks,Dining,22.96,TX,0
T000362,C0047,2024-09-18,Walgreens,Healthcare,122.65,VA,0
T000363,C0148,2024-04-05,Chevron,Gas,49.2,FL,0
T000364,C0166,2024-09-07,Marriott,Travel,266.63,NY,0
T000365,C0116,2024-01-05,Safeway,Groceries,107.23,MD,0
T000366,C0099,2024-12-16,DC Water,Utilities,113.59,FL,0
T000367,C0114,2024-02-12,Comcast,Utilities,126.12,FL,0
T000368,C0057,2024-05-20,Amazon,Shopping,124.05,VA,0
T000369,C0200,2024-10-08,DC Water,Utilities,116.84,NY,0
T000370,C0069,2024-08-13,CVS Pharmacy,Healthcare,168.44,TX,0
T000371,C0027,2024-01-17,Spotify,Entertainment,29.74,MD,0
T000372,C0023,2024-05-01,Verizon,Utilities,65.68,CA,0
T000373,C0177,2024-03-25,Urgent Care,Healthcare,188.68,NY,0
T000374,C0053,2024-09-29,Safeway,Groceries,70.6,DC,0
T000375,C0083,2024-10-20,Walmart,Shopping,144.66,FL,0
T000376,C0174,2024-07-29,Starbucks,Dining,111.06,DC,0
T000377,C0168,2024-05-07,Marriott,Travel,159.68,TX,0
T000378,C0064,2024-03-13,Chevron,Gas,54.65,IL,0
T000379,C0107,2024-02-08,Chevron,Gas,58.02,MD,0
T000380,C0024,2024-12-21,ExxonMobil,Gas,76.18,TX,0
T000381,C0125,2024-02-17,CVS Pharmacy,Healthcare,221.97,DC,0
T000382,C0171,2024-09-30,CVS Pharmacy,Healthcare,125.34,CA,0
T000383,C0055,2024-06-14,Dominion Energy,Utilities,170.82,NY,0
T000384,C0148,2024-06-24,Airbnb,Travel,720.62,FL,0
T000385,C0012,2024-01-09,Local Bistro,Dining,23.67,NY,0
T000386,C0113,2024-08-07,Verizon,Utilities,64.39,TX,0
T000387,C0034,2024-05-20,Target,Shopping,60.27,MD,0
T000388,C0022,2024-01-27,Walgreens,Healthcare,124.94,NY,0
T000389,C0180,2024-12-01,Steam,Entertainment,10.02,IL,0
T000390,C0055,2024-03-08,Verizon,Utilities,130.93,NY,0
T000391,C0114,2024-12-22,Whole Foods,Groceries,81.84,FL,0
T000392,C0109,2024-02-06,Airbnb,Travel,221.71,NY,0
T000393,C0027,2024-07-07,McDonalds,Dining,106.91,MD,0
T000394,C0199,2024-02-05,Marriott,Travel,2125.05,IL,1
T000395,C0113,2024-11-17,Walgreens,Healthcare,227.0,TX,0
T000396,C0158,2024-02-14,Comcast,Utilities,182.42,TX,0
T000397,C0032,2024-08-07,ExxonMobil,Gas,38.87,VA,0
T000398,C0071,2024-10-10,Starbucks,Dining,76.11,NY,0
